draw_number,number1,number2,number3,number4,number5,number6,number7,powerball
1463,35,2,3,33,20,22,10,9
1462,18,29,34,8,4,28,6,11
1461,13,9,1,18,12,2,14,3
1460,6,18,32,3,1,16,12,4
1459,4,23,2,13,7,25,5,16
1458,20,32,29,3,34,17,28,18
1457,35,31,22,9,18,34,23,1
1456,25,30,20,24,21,6,4,2
1455,7,20,19,25,10,31,1,11
1454,29,19,34,6,9,15,18,4
1453,13,25,12,10,24,3,7,11
1452,30,24,5,32,35,27,15,2
1451,4,20,24,6,8,30,2,10
1450,31,3,24,13,5,25,33,17
1449,33,12,7,5,28,6,27,4
1448,35,34,19,10,18,15,5,20
1447,25,12,6,20,26,16,7,2
1446,12,33,23,35,1,26,32,10
1445,21,9,27,6,1,26,4,10
1444,21,31,17,22,20,24,34,6
1443,30,2,5,25,16,32,34,7
1442,21,31,34,27,33,22,30,4
1441,27,35,15,24,11,9,16,1
1440,13,14,20,25,22,35,34,12
1439,2,6,22,4,30,18,8,2
1438,31,6,4,17,23,15,33,15
1437,34,2,1,11,30,23,19,4
1436,35,31,32,7,23,33,4,5
1435,1,7,11,31,32,8,29,16
1434,35,15,5,23,34,29,30,2
1433,23,30,11,8,12,22,6,15
1432,9,4,31,35,11,16,22,20
1431,26,7,4,24,6,3,1,18
1430,31,10,20,21,6,35,1,13
1429,11,19,4,22,3,8,14,5
1428,3,26,15,2,28,27,14,19
1427,12,23,13,19,29,4,18,5
1426,17,10,6,5,31,19,2,10
1425,24,11,27,29,14,18,20,19
1424,10,35,27,32,6,14,31,6
1423,8,17,18,20,11,3,33,7
1422,24,12,30,26,10,17,21,10
1421,11,24,9,23,18,16,10,9
1420,13,7,18,1,23,25,33,7
1419,19,14,18,22,16,4,33,18
1418,7,29,14,4,32,27,9,17
1417,19,3,29,17,27,30,11,15
1416,12,28,7,16,10,20,17,20
1415,3,28,8,18,5,24,1,2
1414,22,3,5,23,4,14,6,17
1413,20,11,13,9,2,25,31,2
1412,17,15,28,12,22,21,20,11
1411,14,23,19,31,6,28,34,3
1410,17,20,30,29,27,12,8,6
1409,3,19,6,33,11,20,7,18
1408,8,15,9,18,3,28,12,14
1407,35,31,20,18,13,2,34,9
1406,30,16,27,6,33,19,28,17
1405,32,30,12,18,1,13,24,6
1404,27,33,19,29,5,12,15,4
1403,30,33,24,6,21,12,17,10
1402,12,5,6,7,13,35,11,15
1401,26,4,7,5,18,25,19,15
1400,32,17,29,34,28,3,22,18
1399,7,10,27,33,30,20,17,1
1398,18,14,13,16,21,19,29,18
1397,6,5,3,11,30,26,24,9
1396,5,8,12,13,35,20,21,8
1395,32,35,11,28,8,16,3,13
1394,7,35,31,2,24,21,15,18
1393,31,30,28,15,1,33,21,16
1392,35,32,34,19,3,30,21,1
1391,18,22,34,3,30,10,29,5
1390,5,13,27,21,7,9,35,6
1389,9,26,4,23,22,6,24,18
1388,31,23,5,28,7,18,21,4
1387,26,21,34,19,22,1,7,2
1386,14,4,21,18,35,10,19,11
1385,7,34,8,5,2,29,4,15
1384,14,4,9,25,27,31,33,15
1383,6,5,7,19,1,33,14,17
1382,15,22,14,3,32,17,5,7
1381,24,32,22,12,2,8,6,2
1380,10,4,12,18,2,34,7,7
1379,14,33,11,25,17,24,6,18
1378,31,35,16,13,25,18,1,2
1377,28,35,17,14,6,3,4,10
1376,15,19,9,12,16,35,20,4
1375,24,21,10,15,35,28,26,8
1374,22,31,35,13,9,2,10,15
1373,15,21,23,13,30,25,31,10
1372,3,10,15,26,34,12,4,20
1371,4,16,8,25,31,12,32,17
1370,1,22,2,4,20,23,27,20
1369,30,23,9,22,5,28,18,3
1368,23,21,17,11,32,6,13,15
1367,9,5,19,34,23,24,10,13
1366,9,8,25,7,26,2,24,9
1365,35,1,17,33,20,6,26,5
1364,13,16,3,28,30,14,6,11
